Category	Frequency	Word	Decade
instruments	1.5343314611482042e-07	clarinet	1890
instruments	3.293676710194983e-07	clarinet	1900
instruments	5.764914044716027e-07	clarinet	1910
instruments	6.881408834882653e-07	clarinet	1920
instruments	1.198805830490716e-06	clarinet	1930
instruments	1.1895294067362535e-06	clarinet	1940
instruments	8.342021951024641e-07	clarinet	1950
instruments	7.720035301678478e-07	clarinet	1960
instruments	7.521239906441669e-07	clarinet	1970
instruments	6.964637267264694e-07	clarinet	1980
instruments	6.665839700805488e-07	clarinet	1990
instruments	0.0	harmonica	1800
instruments	0.0	harmonica	1810
instruments	0.0	harmonica	1820
instruments	9.815998527564526e-09	harmonica	1830
instruments	1.4454957303612045e-08	harmonica	1840
instruments	1.830684765052782e-08	harmonica	1850
instruments	3.0773757165681014e-08	harmonica	1860
instruments	1.3780250406993455e-08	harmonica	1870
instruments	9.011383563288646e-09	harmonica	1880
instruments	1.4097489920806151e-08	harmonica	1890
instruments	1.73026168640637e-08	harmonica	1900
instruments	1.1034013955832315e-08	harmonica	1910
instruments	1.0044724326687007e-08	harmonica	1920
instruments	2.1119901376094833e-08	harmonica	1930
instruments	3.10519724650026e-08	harmonica	1940
instruments	3.073257135301356e-08	harmonica	1950
instruments	2.6199937701251354e-08	harmonica	1960
instruments	2.8030416866719684e-08	harmonica	1970
instruments	3.939543159351229e-08	harmonica	1980
instruments	4.596295188752209e-08	harmonica	1990
instruments	0.0	mandolin	1800
instruments	0.0	mandolin	1810
instruments	0.0	mandolin	1820
instruments	0.0	mandolin	1830
instruments	0.0	mandolin	1840
instruments	0.0	mandolin	1850
instruments	6.216920639531518e-09	mandolin	1860
instruments	1.5860288204275485e-08	mandolin	1870
instruments	1.5867871057095224e-08	mandolin	1880
instruments	6.638934206891269e-08	mandolin	1890
instruments	7.959203757469301e-08	mandolin	1900
instruments	1.0245870101844293e-07	mandolin	1910
instruments	7.649443910323182e-08	mandolin	1920
instruments	5.916924750604346e-08	mandolin	1930
instruments	6.5516249596489e-08	mandolin	1940
instruments	5.33000314978464e-08	mandolin	1950
instruments	5.540328289508518e-08	mandolin	1960
instruments	5.5346032574725204e-08	mandolin	1970
instruments	5.0247603498170044e-08	mandolin	1980
instruments	5.834898461643841e-08	mandolin	1990
instruments	7.185702749241309e-06	trumpet	1800
instruments	6.93109449734698e-06	trumpet	1810
instruments	7.297840112783045e-06	trumpet	1820
instruments	6.607505554304685e-06	trumpet	1830
instruments	6.562911989772459e-06	trumpet	1840
instruments	7.009717749679568e-06	trumpet	1850
instruments	6.506939987365663e-06	trumpet	1860
instruments	5.785625133139969e-06	trumpet	1870
instruments	5.833107760445277e-06	trumpet	1880
instruments	5.381962663719855e-06	trumpet	1890
instruments	4.503500399354408e-06	trumpet	1900
instruments	3.090097103163221e-06	trumpet	1910
instruments	2.9128155205188215e-06	trumpet	1920
instruments	2.56238041536795e-06	trumpet	1930
instruments	2.2538272322125515e-06	trumpet	1940
instruments	2.0325456692253213e-06	trumpet	1950
instruments	1.8961086621256834e-06	trumpet	1960
instruments	1.7185351572257155e-06	trumpet	1970
instruments	1.5659888816381603e-06	trumpet	1980
