Label,Valence,Min_val,Max_val
autistic,-1.0722517567127934,-1.2375801553930676,-0.5745943094286011
bipolar,-0.9544172057026049,-1.206589183591171,-0.6122250926544548
blind,-1.0862116052077455,-1.3553188197125663,-0.698187059526849
cleft,-0.9756709128252744,-1.157798534174428,-0.5076192358433347
deaf,-0.8832044290805376,-1.1488214003708246,-0.26224529522313
scarred,-0.8767539394625807,-1.2080398738070446,-0.5037179585921934
retarded,-1.2015286913221672,-1.3868269249697733,-0.7924909090248017
disabled,-1.1982082616887426,-1.4499647221520247,-0.8587631577271961
schizophrenic,-1.0171541734915146,-1.236600507595321,-0.6619106268408805
short,0.028779096054962972,-0.4262151924284541,0.5130393479885184
mute,-0.3710428806330083,-0.7924981287578898,-0.06999919120095065
stroke,-1.1100674069614036,-1.277708564007511,-0.6016434509054072
unattractive,-0.7043698740011679,-0.8997280243192467,-0.459748387087115
wheelchair,-1.1651486707253071,-1.4044476319360215,-0.6371687484947561
alcoholic,-0.992702210600321,-1.1930580280978174,-0.7240757634903205
std,-1.2474117060167604,-1.3785994536757278,-0.7435886114071542
drug,-1.0325992716520793,-1.2872806543619562,-0.7713700343351696
criminal,-1.1912751610886048,-1.321818959691587,-1.0583115478781213
gang,-1.1066806415720003,-1.2563321116154023,-0.8983434453666618
homeless,-0.2064827402530475,-0.5428965556695541,0.18785178211338496
paroled,-0.9602572085438179,-1.114044795067617,-0.756742645234653
molestor,-1.170723614095231,-1.2335182867186123,-1.0822391804281475
asian,-0.46619163786665957,-0.7952189758276894,-0.0863407011925434
black,-0.5567401070779207,-0.7725571197492501,-0.35129065770248746
latino,-0.10000393183639752,-0.526015647330639,0.2705339894376363
mideast,0.3457293966947379,-0.1669209817465857,0.7000917768504932
multiracial,0.1292482298981825,-0.2903315198329903,0.4260831059975161
native,-0.055424307352164436,-0.4122329556277832,0.3535435480070637
old,0.5485015311694647,0.380674104217889,0.6644297782928509
indian,0.01110121790943872,-0.36906931445239344,0.43169424787122873
asexual,0.1114478023469482,-0.2390390176277985,0.6292584384227248
atheist,-0.6297044171543815,-1.0020062153540614,-0.25050590668585876
cancer,-1.1486094290445947,-1.2794016410819298,-0.8957352391503989
depressed,-0.9774588365954978,-1.0826934541700963,-0.7291388048777121
diabetic,-1.1350585111887341,-1.2963871396637574,-0.7425578021685146
divorced,-0.5374307874897383,-0.9311283182686526,-0.3329397889227051
immigrant,0.19246110612990658,-0.3017114884775711,0.6340042044910987
christian,0.5822902818199942,0.43240389586797556,0.7650892774064878
abortion,-1.1359565710960282,-1.3115591179118335,-0.87547531592295
attack,-1.0737199068317163,-1.2255429488252534,-0.8333647932383145
infertile,-0.6355921707097341,-0.9720857117806833,-0.12459718642752354
transgender,-0.009783273127037865,-0.4662060030824082,0.41071354402328936
jewish,0.1466754688219286,-0.07238552302201788,0.33775305286772445
homosexual,0.3727026787347107,-0.20089749651120953,0.7223360649815074
uneducated,-0.4700326341893553,-0.6681787488807657,-0.19650319534343602
psoriasis,-1.1486281892003698,-1.2441203232473512,-0.9365891670470585
unemployed,-0.5418002534221292,-0.9596287849042929,0.23907243965048505
molested,-1.1995361027320994,-1.3205375326927866,-1.0025988375112402
poor,-0.3874602922468078,-0.6152523603256573,-0.06945219781127943
laborer,0.21337453494724237,-0.1981344839200816,0.49463046991154314
server,0.4430741823034146,-0.011132270562439726,0.9037397970750216
fat,-0.5602486458935579,-0.7479016990787671,-0.3461173918362964
incontinent,-1.1588060391779198,-1.3253754680823233,-0.7928982772511207
prostitute,-0.16271792543548064,-0.4874228101072833,0.029012055291338518
pierced,-0.3718786719527899,-0.6651654221993407,-0.09266193863161448
muslim,0.012311581633923764,-0.210092079919705,0.43444086300096085
polygamous,-0.23184761832271478,-0.6465694349163972,0.2963073601891776
smoker,-0.7476697867526243,-1.0179413710602907,-0.4193926625682227
alien,-1.251443077707987,-1.3433023090544776,-1.1057421236498335
hiv,-1.231216136105385,-1.3779521435509012,-0.9415660639805171
herpes,-1.2407132857295038,-1.3851190095998491,-0.9328333303736737
dealer,-0.6410042918044628,-0.9365477421501535,-0.26223706944900704
